Employee ID,Employee Name,Department/Team,Designation/Role,Date of Joining,Current Employment Status,Total Work Duration (years),Leave Date,Leave Type,Leave Approval Status,Leave Frequency,Weekend Leaves (Sat/Sun Included?),Sandwich Policy Applied?,Tasks Assigned,Tasks Completed on Time,Missed Deadlines,Employee Performance Score,Team Size,Active Employees in Team,Leaves in Team for Same Period,Skill Rating,Past Performance Reviews,Project Involvement,Total Leave Days (per month/year),Leave Impact on Work,Performance Rating,Eligibility Score
268976,James Hanson,Marketing,Junior Engineer,2010-06-07,Active,14.7,2024-03-03,Vacation,Pending,1,No,Yes,22,19,3,54.7,35,35,30,7.9,4.5,High,16,Low,4.1,20.2
557429,Heather Byrd,Operations,Senior Engineer,2016-06-05,Active,8.7,2024-05-05,Vacation,Rejected,7,Yes,Yes,31,0,31,84.3,13,6,6,2.4,3.1,Low,0,Medium,1.8,81.9
88132,Timothy Williams,Marketing,Junior Engineer,2014-07-04,Resigned,1.2,2024-07-12,Vacation,Rejected,5,Yes,No,81,66,15,62.0,14,10,7,6.8,4.6,Low,15,High,2.6,16.1
802137,Cheryl Long,IT,Manager,2011-12-19,Active,13.2,2024-05-25,Maternity/Paternity Leave,Rejected,5,No,Yes,43,14,29,86.2,49,44,5,3.5,5.0,High,6,Low,2.3,30.4
894068,Sharon Blair,Operations,Intern,2022-08-15,Active,2.5,2024-04-02,Maternity/Paternity Leave,Pending,9,Yes,Yes,80,7,73,91.8,42,32,17,4.8,1.3,Medium,9,Low,3.7,80.6
988174,Elizabeth Gibson,IT,Team Lead,2016-05-28,Resigned,8.6,2024-02-04,Emergency Leave,Pending,1,Yes,Yes,32,12,20,97.0,31,17,21,3.2,3.3,Low,10,Medium,5.0,88.7
259483,Deanna Brock,Operations,Associate,2021-11-01,Active,3.3,2024-06-07,Casual Leave,Pending,9,No,Yes,30,30,0,94.0,44,16,0,8.3,1.8,Medium,16,High,3.5,61.4
748748,Marc Sandoval,Marketing,Analyst,2014-12-03,Active,10.2,2024-02-10,Sick Leave,Approved,4,Yes,Yes,57,11,46,95.7,29,17,10,7.8,4.9,High,20,High,3.2,39.7
576593,Stephen Hernandez,Operations,Analyst,2014-04-29,Active,10.8,2024-06-22,Sick Leave,Approved,2,Yes,Yes,41,8,33,84.5,23,13,14,1.5,2.6,Medium,19,High,2.9,94.4
812102,Daniel Miles,Operations,Associate,2022-10-25,Resigned,0.7,2024-01-09,Maternity/Paternity Leave,Approved,4,Yes,No,53,24,29,50.3,30,30,15,5.9,4.4,High,2,High,2.2,49.5
136357,Christopher Lopez,Engineering,Junior Engineer,2016-10-01,Active,8.4,2024-06-01,Sick Leave,Rejected,3,Yes,Yes,26,26,0,63.7,27,22,13,3.3,4.1,High,8,Medium,2.6,65.3
990368,Cory Owen,Engineering,Team Lead,2013-08-29,Active,11.5,2024-01-23,Vacation,Approved,6,No,Yes,34,6,28,52.8,44,36,30,1.9,2.4,Medium,18,Low,3.1,36.8
156719,Kyle Russell,HR,Associate,2017-12-06,Active,7.2,2024-06-06,Casual Leave,Pending,4,No,Yes,34,20,14,75.4,41,13,23,4.9,4.9,High,19,Medium,2.0,2.8
337384,Amanda Hamilton,HR,Team Lead,2018-01-13,Active,7.1,2024-03-27,Maternity/Paternity Leave,Pending,2,No,Yes,27,23,4,58.5,22,4,15,6.0,4.7,Low,11,Medium,2.6,29.0
717312,Bailey Rodriguez,Operations,Senior Engineer,2011-02-25,Resigned,3.6,2024-01-28,Emergency Leave,Approved,2,Yes,No,32,29,3,69.8,13,9,3,1.3,3.3,Medium,13,Medium,1.0,29.1
403725,Donald Baker,Operations,Senior Engineer,2013-04-03,Active,11.9,2024-10-11,Vacation,Pending,5,No,No,46,2,44,61.9,22,15,9,2.3,4.3,Medium,8,High,2.3,42.5
709010,Matthew Johnson,Sales,Associate,2015-05-17,Active,9.8,2024-10-14,Sick Leave,Approved,10,Yes,Yes,57,17,40,77.6,40,25,16,6.6,1.1,Low,0,Low,5.0,31.7
427233,Brian Hoover,Finance,Senior Engineer,2012-08-13,Active,12.5,2024-01-03,Maternity/Paternity Leave,Approved,7,No,No,62,19,43,57.2,21,6,3,7.1,2.4,Low,3,High,2.5,70.5
562875,Nancy Wilson,Operations,Director,2010-01-09,Active,15.1,2024-06-30,Sick Leave,Approved,3,No,No,96,20,76,79.3,16,14,2,8.4,1.5,Low,15,Low,2.3,42.0
822672,Sherry Miller,Engineering,Team Lead,2020-12-24,Active,4.2,2024-02-17,Emergency Leave,Approved,9,No,Yes,22,3,19,65.1,42,10,3,6.6,3.1,Low,30,Medium,3.3,69.7
401936,Stacey Keith,Sales,Analyst,2016-08-09,Active,8.5,2024-03-05,Vacation,Rejected,1,Yes,No,18,13,5,80.3,20,18,6,4.5,3.7,High,6,Low,3.1,67.7
784271,Madison White,HR,Director,2016-05-11,Active,8.8,2024-09-03,Maternity/Paternity Leave,Approved,9,No,Yes,57,30,27,81.9,45,3,19,9.7,3.4,Medium,30,High,4.3,73.5
390949,Thomas Landry,Operations,Junior Engineer,2020-09-04,Active,4.5,2024-12-11,Maternity/Paternity Leave,Rejected,5,No,Yes,91,40,51,79.9,9,3,3,5.5,4.4,High,9,High,4.6,65.7
859059,Bobby Mcintosh,Sales,Intern,2021-01-19,Active,4.1,2024-04-09,Emergency Leave,Rejected,10,No,Yes,69,61,8,60.7,48,39,8,2.7,2.0,High,4,Low,2.9,20.7
657259,William Lewis,Marketing,Team Lead,2013-04-05,Active,11.9,2024-03-05,Casual Leave,Pending,8,No,No,89,35,54,54.4,48,46,47,1.5,3.0,Low,27,High,2.1,4.5
310101,Gloria Sanchez,Operations,Analyst,2012-09-29,Active,12.4,2024-01-22,Emergency Leave,Approved,2,No,Yes,93,26,67,89.7,17,10,8,9.6,3.6,Medium,17,High,1.5,2.9
572495,Allison Medina,Finance,Associate,2017-08-10,Active,7.5,2024-11-22,Casual Leave,Pending,3,No,No,23,16,7,89.5,50,36,23,8.0,3.6,High,15,Low,3.5,41.5
619762,Mariah Scott,Engineering,Director,2014-01-18,Resigned,8.8,2024-11-29,Casual Leave,Pending,10,No,Yes,15,8,7,85.5,25,11,23,9.2,1.0,Low,26,Medium,3.6,65.6
37658,Terry Alexander,HR,Team Lead,2021-10-02,Active,3.4,2024-07-23,Emergency Leave,Rejected,7,Yes,Yes,30,2,28,85.5,20,14,7,6.0,1.4,Low,28,Low,3.9,32.8
405540,Mrs. Brittany Jones,Sales,Associate,2022-06-27,Active,2.6,2024-03-26,Vacation,Approved,7,No,No,99,94,5,99.9,49,34,0,6.7,4.9,Low,16,High,3.6,76.5
557029,Michelle Goodwin,Sales,Manager,2013-09-09,Active,11.4,2024-11-16,Maternity/Paternity Leave,Approved,6,Yes,No,47,18,29,58.2,50,9,40,9.4,3.7,Medium,7,Medium,3.7,4.7
615191,David Kim,Sales,Manager,2011-04-20,Resigned,12.3,2024-06-02,Emergency Leave,Rejected,9,No,Yes,47,11,36,93.3,41,26,22,9.3,4.2,High,3,Low,1.9,41.7
487042,Michael Ramsey,Operations,Director,2015-02-24,Resigned,3.4,2024-06-01,Sick Leave,Pending,10,Yes,Yes,85,55,30,80.4,20,8,12,4.9,1.0,Medium,15,High,1.5,58.1
768504,Jennifer Austin,Engineering,Intern,2017-10-10,Active,7.4,2024-05-30,Vacation,Approved,0,Yes,No,89,63,26,53.4,24,12,24,5.7,1.4,Medium,18,Medium,4.5,88.9
165339,Adrian Smith,IT,Manager,2019-01-29,Active,6.1,2024-12-11,Emergency Leave,Pending,5,Yes,Yes,49,4,45,98.1,44,2,1,7.7,4.1,Low,14,High,3.2,7.9
947568,Jesse Perez,Engineering,Junior Engineer,2020-08-28,Resigned,4.1,2024-11-28,Sick Leave,Pending,4,Yes,No,60,54,6,85.1,7,7,7,5.1,1.7,Low,16,High,2.4,3.7
261060,Mr. Raymond Snyder,Sales,Senior Engineer,2011-11-06,Active,13.3,2024-02-13,Casual Leave,Rejected,7,No,Yes,36,34,2,95.4,35,31,26,2.8,2.7,High,20,Low,2.9,39.3
483574,John Pollard,Sales,Team Lead,2013-01-06,Terminated,11.2,2024-07-31,Casual Leave,Approved,3,No,Yes,84,53,31,66.7,39,13,8,6.8,4.5,Medium,19,High,1.4,79.0
349830,Christina Browning,Sales,Manager,2022-08-04,Resigned,0.1,2024-07-01,Vacation,Approved,8,Yes,No,23,9,14,56.0,13,8,8,1.7,4.2,High,1,Medium,3.0,20.0
77778,James Wilson,Sales,Intern,2015-05-24,Active,9.7,2024-09-04,Emergency Leave,Rejected,1,No,Yes,37,35,2,78.2,20,17,19,7.2,4.6,High,20,Low,2.4,29.9
458782,Ryan Rodriguez,Operations,Intern,2020-09-24,Active,4.4,2024-08-30,Maternity/Paternity Leave,Rejected,7,No,Yes,86,81,5,98.6,7,3,3,6.7,4.8,Low,30,Low,2.8,84.1
287237,Amy Cox,Operations,Intern,2021-11-05,Active,3.3,2024-02-03,Sick Leave,Rejected,9,No,No,42,8,34,65.8,24,24,23,4.6,4.2,High,27,Medium,2.3,7.7
761523,Charles Bauer,IT,Manager,2015-07-20,Active,9.6,2024-08-17,Casual Leave,Pending,5,No,Yes,26,20,6,84.4,6,5,6,6.0,4.8,Low,26,High,1.8,76.5
467295,Christopher Gonzales,Operations,Junior Engineer,2015-05-24,Active,9.7,2024-04-26,Vacation,Approved,2,Yes,No,10,7,3,96.9,5,2,1,6.9,3.7,Medium,2,High,1.8,13.0
601870,Robert Padilla,IT,Analyst,2019-11-03,Active,5.3,2024-10-14,Maternity/Paternity Leave,Rejected,0,Yes,No,28,15,13,82.7,29,11,10,9.6,2.5,Medium,4,Medium,4.3,51.6
843168,Jennifer Williams,Operations,Senior Engineer,2011-07-14,Resigned,5.5,2024-10-15,Vacation,Pending,8,Yes,No,21,14,7,60.5,10,4,9,9.0,3.9,Low,2,Medium,4.8,64.1
156771,Tiffany Harris,IT,Manager,2015-08-25,Active,9.5,2024-01-27,Vacation,Rejected,6,Yes,No,59,14,45,75.1,44,23,35,5.4,2.1,Low,0,High,2.7,85.4
125015,Marc Lynch,Sales,Associate,2016-09-24,Active,8.4,2024-02-22,Vacation,Approved,2,Yes,Yes,17,9,8,55.9,16,10,8,5.8,4.0,Medium,1,High,2.0,34.0
351227,Richard Williams,HR,Junior Engineer,2018-11-01,Terminated,1.6,2024-09-12,Vacation,Pending,2,No,No,72,6,66,73.6,36,5,27,6.2,4.3,High,27,High,2.4,47.4
355392,Jennifer Jackson,Marketing,Junior Engineer,2014-08-18,Active,10.5,2024-05-25,Vacation,Pending,1,No,Yes,34,26,8,93.1,10,9,5,5.8,4.4,High,4,Medium,3.7,14.0
204021,Karen Copeland,HR,Director,2013-12-29,Active,11.1,2024-06-08,Sick Leave,Rejected,6,Yes,Yes,93,67,26,92.7,19,10,18,8.0,4.6,Low,3,Medium,4.7,50.7
167075,Maria Martinez,IT,Team Lead,2020-05-23,Active,4.7,2024-09-24,Vacation,Rejected,8,Yes,No,89,49,40,80.0,40,17,28,8.3,4.0,Medium,7,Low,2.5,25.9
785592,Pamela Adams,Sales,Junior Engineer,2015-04-02,Active,9.9,2024-11-23,Sick Leave,Pending,7,No,No,40,11,29,82.4,12,9,9,7.9,4.0,Medium,29,Medium,4.9,53.7
760568,Andrew Johnson,Finance,Team Lead,2010-05-20,Active,14.8,2024-03-26,Casual Leave,Rejected,1,No,No,10,0,10,58.6,45,2,26,6.3,4.5,Low,13,Low,3.3,90.8
906093,Tyler Pearson,Engineering,Analyst,2020-06-07,Resigned,1.3,2024-03-01,Sick Leave,Pending,6,No,Yes,31,24,7,77.0,26,15,3,6.7,2.8,High,2,Medium,1.3,41.5
982416,Amanda Gonzalez,Engineering,Intern,2014-03-10,Active,11.0,2024-08-19,Vacation,Pending,10,No,Yes,92,37,55,96.5,33,19,1,4.6,1.9,Medium,8,Medium,2.9,57.5
112363,Jeffrey Kelly,Marketing,Director,2016-06-23,Active,8.7,2024-05-02,Casual Leave,Rejected,8,No,No,66,57,9,79.3,29,12,13,2.8,1.8,Low,21,High,1.5,33.3
582338,Ryan Lee,Operations,Analyst,2014-03-26,Active,10.9,2024-10-08,Casual Leave,Pending,0,No,Yes,67,32,35,82.2,31,23,29,10.0,2.8,Medium,23,High,2.2,81.7
350425,Shannon Johnson,Marketing,Analyst,2019-02-09,Active,6.0,2024-02-12,Maternity/Paternity Leave,Approved,9,Yes,No,80,45,35,78.1,28,12,5,8.9,2.9,Medium,17,Low,4.9,62.8
72956,Elizabeth Ross,Operations,Director,2020-05-14,Resigned,2.0,2024-12-11,Maternity/Paternity Leave,Rejected,0,Yes,No,75,1,74,92.0,9,8,4,3.0,2.1,High,18,High,2.9,30.3
887979,Laura West,Marketing,Senior Engineer,2016-08-30,Active,8.5,2024-01-17,Maternity/Paternity Leave,Rejected,0,No,No,88,2,86,55.8,50,21,12,6.8,1.3,Medium,11,Low,4.5,7.9
330680,Amber Fox,Marketing,Senior Engineer,2013-04-28,Active,11.8,2024-04-13,Emergency Leave,Rejected,2,No,No,94,74,20,68.6,18,1,18,7.1,4.6,High,26,Medium,2.5,50.7
219891,Daniel Christensen,Engineering,Director,2022-12-07,Active,2.2,2024-01-19,Emergency Leave,Rejected,7,No,Yes,94,74,20,57.8,29,12,13,7.6,2.0,Medium,8,High,2.9,97.1
205031,Robert Solomon,Sales,Senior Engineer,2015-08-27,Active,9.5,2024-05-21,Emergency Leave,Pending,3,No,No,99,80,19,67.9,24,24,2,6.1,1.5,Medium,12,Medium,4.5,61.9
191208,Gloria Cruz,HR,Junior Engineer,2017-04-01,Active,7.9,2024-07-29,Vacation,Pending,2,Yes,Yes,16,11,5,60.0,11,11,6,7.8,3.1,High,11,Medium,3.5,90.9
973941,James Zimmerman,Sales,Manager,2021-09-25,Active,3.4,2024-07-05,Sick Leave,Pending,4,No,Yes,46,41,5,85.5,15,10,4,4.1,2.7,Medium,14,Medium,4.5,40.1
628125,Jennifer Baker,Engineering,Team Lead,2015-08-08,Active,9.5,2024-03-15,Casual Leave,Approved,3,No,Yes,46,10,36,96.6,49,30,42,2.5,4.9,Medium,29,High,1.5,16.6
61228,Jennifer Jackson,Finance,Associate,2020-12-07,Active,4.2,2024-08-21,Emergency Leave,Approved,10,Yes,Yes,26,18,8,90.9,23,18,5,3.7,4.0,High,19,Medium,3.3,83.9
569007,Brett Smith,Finance,Senior Engineer,2021-06-19,Active,3.7,2024-02-21,Emergency Leave,Rejected,8,No,No,99,31,68,52.4,48,44,8,4.5,2.7,Low,4,Low,2.8,39.8
49990,Russell Sharp,Finance,Intern,2010-04-03,Active,14.9,2024-06-21,Sick Leave,Pending,7,Yes,Yes,33,2,31,76.8,49,19,46,8.8,2.8,Low,15,High,4.8,22.5
604048,Virginia Snow,Finance,Director,2012-09-01,Active,12.5,2024-09-17,Emergency Leave,Pending,1,Yes,Yes,30,25,5,82.4,34,18,12,8.6,2.0,Low,11,Low,3.4,1.4
779946,Kyle Black,HR,Analyst,2018-02-24,Active,7.0,2024-03-29,Emergency Leave,Approved,1,No,Yes,18,15,3,75.3,23,5,10,8.6,3.1,Low,2,Medium,2.8,23.6
507200,Michele Gordon,Sales,Analyst,2016-04-23,Active,8.8,2024-01-21,Maternity/Paternity Leave,Approved,0,Yes,Yes,29,3,26,87.6,32,13,3,6.1,2.4,Medium,7,Low,4.6,54.9
465919,Gregory Ferguson,Operations,Junior Engineer,2017-07-07,Active,7.6,2024-11-23,Vacation,Rejected,6,No,Yes,97,44,53,78.0,47,30,47,5.9,2.7,Medium,11,Low,3.4,81.1
433113,Jamie Reid,Engineering,Team Lead,2022-11-30,Active,2.2,2024-06-10,Maternity/Paternity Leave,Approved,6,Yes,No,44,40,4,56.5,10,7,3,1.3,4.2,Medium,22,High,1.6,68.9
176021,Xavier Brown,IT,Director,2016-02-13,Active,9.0,2024-10-22,Vacation,Approved,8,Yes,No,20,16,4,55.9,39,30,27,5.4,2.8,Medium,28,Medium,1.9,4.1
865925,Sandra Black,Sales,Director,2021-08-23,Active,3.5,2024-06-21,Emergency Leave,Rejected,0,Yes,No,83,62,21,84.9,45,5,4,8.1,3.7,High,18,Medium,2.7,48.2
467464,Joseph Carter,Sales,Manager,2016-02-11,Active,9.0,2024-01-23,Emergency Leave,Pending,8,No,No,53,18,35,79.8,33,20,6,3.4,4.0,High,25,High,4.2,84.9
136096,Spencer Graves,HR,Intern,2011-08-20,Active,13.5,2024-06-21,Vacation,Approved,9,Yes,Yes,54,3,51,51.8,38,21,2,8.7,4.2,Medium,23,Low,2.5,9.1
351342,Robert Campbell,Operations,Intern,2016-07-12,Active,8.6,2024-01-19,Sick Leave,Pending,2,No,Yes,11,2,9,86.8,17,2,10,1.5,3.7,High,28,Medium,4.4,93.1
663184,Kevin Price,Engineering,Director,2011-11-28,Active,13.2,2024-03-19,Emergency Leave,Pending,0,Yes,Yes,73,62,11,79.3,21,18,4,3.8,2.3,Medium,30,Medium,4.6,76.4
968819,Mark Davila II,Engineering,Manager,2013-06-26,Active,11.7,2024-07-16,Casual Leave,Approved,1,Yes,No,69,18,51,83.2,32,16,23,3.4,4.0,Low,5,High,1.2,9.1
218759,Zachary Duncan,IT,Intern,2013-09-27,Active,11.4,2024-05-05,Casual Leave,Pending,6,Yes,No,72,12,60,60.9,18,6,5,2.0,4.0,Medium,24,Low,4.4,52.1
402011,Darren Waller,Engineering,Analyst,2017-01-07,Resigned,4.5,2024-09-07,Sick Leave,Rejected,9,Yes,Yes,32,3,29,53.0,26,3,0,8.3,4.7,Low,17,High,3.9,69.3
101948,David Allen,Sales,Junior Engineer,2020-06-23,Active,4.7,2024-10-06,Sick Leave,Approved,9,Yes,Yes,94,53,41,50.3,29,1,29,6.1,2.4,Low,9,Low,3.3,19.9
833178,Emma Reyes,Sales,Director,2014-09-11,Active,10.4,2024-08-12,Sick Leave,Pending,1,Yes,No,88,19,69,64.3,14,13,9,5.8,4.4,High,13,Medium,2.7,65.7
129523,Emily Smith,Operations,Manager,2021-12-06,Active,3.2,2024-09-20,Emergency Leave,Approved,6,Yes,Yes,56,41,15,64.6,36,27,12,6.4,3.2,Low,19,High,4.7,79.9
932500,Linda Hess,Marketing,Associate,2012-08-29,Active,12.5,2024-07-31,Maternity/Paternity Leave,Pending,7,No,Yes,74,11,63,70.4,36,5,14,4.6,1.1,High,30,Medium,2.5,75.7
453907,Joe Foster,Engineering,Analyst,2010-01-07,Active,15.1,2024-09-29,Emergency Leave,Approved,1,Yes,No,46,16,30,61.5,35,29,22,4.7,4.4,Low,25,High,4.1,30.0
834585,Steve Fleming,Operations,Associate,2020-02-12,Active,5.0,2024-09-12,Casual Leave,Approved,1,Yes,Yes,10,8,2,93.6,9,6,6,2.7,3.7,Medium,14,Low,4.1,68.6
912393,Kristina Young,Sales,Junior Engineer,2016-10-02,Active,8.4,2024-04-01,Sick Leave,Pending,5,Yes,No,99,79,20,94.4,29,25,28,3.8,3.0,Medium,13,Low,4.3,43.2
621264,Sean Gordon,Engineering,Team Lead,2019-04-02,Active,5.9,2024-04-05,Maternity/Paternity Leave,Pending,10,No,Yes,46,27,19,72.2,37,32,20,2.8,2.8,Medium,29,Medium,4.2,16.8
561859,Jennifer Smith,Operations,Analyst,2017-09-04,Active,7.5,2024-08-04,Sick Leave,Pending,1,No,Yes,80,40,40,54.0,46,19,7,8.4,2.5,High,17,Medium,3.7,17.7
691944,Pamela Reyes,IT,Director,2011-08-13,Active,13.5,2024-10-01,Maternity/Paternity Leave,Rejected,4,Yes,No,90,79,11,72.4,29,18,5,8.9,3.2,High,5,Low,1.6,14.4
681911,Justin Pollard,Finance,Director,2018-06-04,Active,6.7,2024-06-27,Sick Leave,Rejected,3,No,No,83,10,73,96.0,21,9,21,9.6,1.3,Low,3,High,4.3,4.6
680033,Kelly Raymond DDS,Engineering,Senior Engineer,2021-10-27,Active,3.3,2024-11-18,Sick Leave,Approved,5,No,No,82,35,47,77.2,9,9,4,8.3,3.6,High,18,Low,1.4,67.8
850305,Isabel Wyatt,HR,Intern,2019-10-20,Active,5.3,2024-09-28,Casual Leave,Rejected,0,Yes,Yes,55,46,9,71.6,44,44,16,8.0,1.7,Medium,17,Medium,3.7,34.9
99328,Timothy Douglas,Finance,Senior Engineer,2015-07-14,Active,9.6,2024-12-12,Emergency Leave,Approved,2,No,Yes,63,39,24,71.4,45,15,26,7.3,4.1,High,10,High,2.6,37.5
249434,Stephanie Watson,Finance,Junior Engineer,2015-08-16,Resigned,6.0,2024-05-26,Maternity/Paternity Leave,Pending,7,No,Yes,68,27,41,99.6,11,9,3,6.6,4.8,High,6,Low,1.3,51.4
975282,Kellie Sanchez,Operations,Director,2016-11-30,Active,8.2,2024-05-19,Vacation,Pending,9,Yes,Yes,34,7,27,81.4,42,30,0,5.7,4.5,Medium,24,Medium,2.8,80.6
755223,Debra Johnson,HR,Associate,2019-02-12,Active,6.0,2024-07-09,Vacation,Approved,8,Yes,No,64,14,50,86.2,33,1,19,5.0,4.7,High,7,Low,2.1,48.8
475664,Patrick Evans,Finance,Intern,2015-06-23,Active,9.7,2024-06-01,Casual Leave,Pending,7,Yes,Yes,31,15,16,84.1,37,13,4,8.0,2.0,High,15,Medium,1.1,87.3
58570,Adam Foster,Marketing,Junior Engineer,2016-01-22,Active,9.1,2024-01-15,Sick Leave,Rejected,3,Yes,Yes,24,16,8,54.6,9,2,0,4.7,1.5,High,9,Medium,2.0,1.4
457583,Ashley Donaldson,Operations,Team Lead,2010-12-21,Active,14.2,2024-01-10,Vacation,Pending,10,Yes,Yes,43,37,6,76.3,37,3,28,4.4,4.1,Low,16,Medium,4.8,77.9
347188,Dustin Baker,Marketing,Intern,2021-03-10,Active,3.9,2024-08-09,Sick Leave,Rejected,5,Yes,Yes,44,32,12,77.1,38,21,23,2.0,3.2,High,28,High,2.5,44.1
822711,Emily Hunter,HR,Manager,2020-05-19,Resigned,4.6,2024-11-30,Sick Leave,Rejected,0,Yes,No,98,94,4,96.3,25,17,0,4.2,2.6,High,17,Medium,4.0,23.6
473099,Sarah Young,IT,Team Lead,2015-09-26,Active,9.4,2024-02-13,Vacation,Pending,6,Yes,Yes,96,14,82,76.5,47,20,43,6.6,4.9,Medium,3,High,1.5,14.3
716548,Richard Tanner,Engineering,Analyst,2012-07-26,Active,12.6,2024-04-16,Casual Leave,Pending,4,No,No,57,21,36,61.4,34,5,13,5.8,3.2,High,15,Medium,1.4,27.7
646936,Robert Figueroa,Sales,Manager,2013-06-16,Active,11.7,2024-06-08,Vacation,Rejected,10,Yes,Yes,51,42,9,59.5,10,6,10,3.6,2.9,High,21,Low,3.0,76.8
604713,Jessica Henry,Operations,Manager,2017-10-03,Resigned,6.0,2024-11-28,Casual Leave,Approved,9,Yes,No,67,58,9,53.8,41,28,38,1.2,2.0,High,11,High,3.8,93.0
287088,Amanda Scott,Finance,Manager,2017-01-17,Active,8.1,2024-07-06,Vacation,Approved,5,No,Yes,95,80,15,81.1,8,8,2,6.2,1.1,Low,28,Low,4.8,0.3
253272,Savannah Carlson,Operations,Analyst,2010-05-25,Active,14.7,2024-04-09,Casual Leave,Approved,8,Yes,Yes,95,75,20,59.1,17,9,4,3.4,3.7,Low,3,Medium,1.9,63.2
316213,Andrew Knapp,Sales,Manager,2018-01-06,Active,7.1,2024-08-26,Vacation,Approved,1,No,No,20,0,20,89.2,7,4,1,3.3,1.5,Medium,1,Medium,4.3,39.0
519798,Lisa Stewart,IT,Associate,2020-07-31,Terminated,3.2,2024-07-02,Vacation,Approved,8,No,Yes,45,17,28,94.4,42,29,0,9.8,3.5,Medium,7,High,1.6,52.3
469831,Shane Rodriguez,Marketing,Senior Engineer,2013-11-09,Active,11.3,2024-08-08,Casual Leave,Pending,7,No,No,48,24,24,96.6,14,6,3,6.7,1.3,Medium,6,Low,3.5,21.5
551661,Travis Quinn,Marketing,Senior Engineer,2013-09-09,Active,11.4,2024-06-06,Emergency Leave,Pending,2,Yes,No,28,26,2,87.5,42,20,41,2.5,4.6,Low,15,Medium,5.0,26.8
288500,Jonathan Powell,Operations,Analyst,2014-01-25,Terminated,8.7,2024-03-19,Casual Leave,Rejected,4,Yes,Yes,51,46,5,51.7,5,4,0,2.6,4.5,Low,27,Medium,3.3,55.3
306681,Kristen Williams,IT,Junior Engineer,2011-06-28,Active,13.7,2024-11-26,Sick Leave,Rejected,7,Yes,Yes,66,58,8,69.7,13,4,6,5.6,4.3,Medium,21,Medium,5.0,3.4
818375,Renee Hodges,IT,Associate,2018-02-16,Active,7.0,2024-06-10,Casual Leave,Pending,8,Yes,Yes,77,69,8,56.4,36,4,22,9.3,1.4,High,3,Medium,4.7,85.0
497822,Kimberly Sanders,HR,Manager,2014-11-09,Active,10.3,2024-01-27,Emergency Leave,Pending,7,No,Yes,38,21,17,91.6,25,10,3,8.3,1.0,Medium,15,Medium,3.1,45.6
157509,Nicholas Lopez,Engineering,Analyst,2021-03-16,Active,3.9,2024-08-22,Casual Leave,Pending,5,No,Yes,60,28,32,81.1,18,17,9,4.9,4.3,Low,22,Medium,4.8,41.8
914012,Katherine Martin,Finance,Junior Engineer,2019-06-20,Active,5.7,2024-06-15,Vacation,Pending,2,Yes,Yes,70,6,64,50.9,38,37,4,2.9,3.6,Medium,28,High,4.7,68.5
