Employee ID,Employee Name,Department/Team,Designation/Role,Current Employment Status,Total Work Duration (years),Leave Date,Leave Type,Leave Approval Status,Leave Frequency,Weekend Leaves (Sat/Sun Included?),Tasks Assigned,Tasks Completed on Time,Missed Deadlines,Employee Performance Score,Team Size,Active Employees in Team,Leaves in Team for Same Period,Skill Rating,Past Performance Reviews,Project Involvement,Total Leave Days (per month/year),Leave Impact on Work,Performance Rating,Skill_Performance,Leave Month,Leave Approval Rate,Leave Impact Score,Team Workload Ratio
894068,Sharon Blair,5,3,0,2.5,2024-04-02,2,1,9,1,80,7.0,73.0,91.8,42,32,17.0,4.8,1.3,2,9,1,3.7,6.24,8,10.0,603.0,0.7619047619047619
988174,Elizabeth Gibson,3,7,1,8.6,2024-02-04,1,1,1,1,32,12.0,20.0,97.0,31,17,21.0,3.2,3.3,1,10,2,5.0,10.56,5,50.0,9.0,0.5483870967741935
259483,Deanna Brock,5,1,0,3.3,2024-06-07,0,1,9,0,30,30.0,0.0,94.0,44,16,0.0,8.3,1.8,2,16,0,3.5,14.940000000000001,11,10.0,-261.0,0.36363636363636365
748748,Marc Sandoval,4,0,0,10.2,2024-02-10,3,0,4,1,57,11.0,46.0,95.7,29,17,10.0,7.8,4.9,0,20,0,3.2,38.22,12,0.0,144.0,0.5862068965517241
576593,Stephen Hernandez,5,0,0,10.8,2024-06-22,3,0,2,1,41,8.0,33.0,84.5,23,13,14.0,1.5,2.6,2,19,0,2.9,3.9000000000000004,4,0.0,52.0,0.5652173913043478
812102,Daniel Miles,5,1,1,0.7,2024-01-09,2,0,4,1,53,24.0,29.0,50.3,30,30,15.0,5.9,4.4,0,2,0,2.2,25.960000000000004,10,0.0,24.0,1.0
136357,Christopher Lopez,0,4,0,8.4,2024-06-01,3,2,3,1,26,26.0,0.0,63.7,27,22,13.0,3.3,4.1,0,8,2,2.6,13.529999999999998,10,50.0,-75.0,0.8148148148148148
990368,Cory Owen,0,7,0,11.5,2024-01-23,4,0,6,0,34,6.0,28.0,52.8,44,36,30.0,1.9,2.4,2,18,1,3.1,4.56,8,0.0,138.0,0.8181818181818182
156719,Kyle Russell,2,1,0,7.2,2024-06-06,0,1,4,0,34,20.0,14.0,75.4,41,13,23.0,4.9,4.9,0,19,2,2.0,24.010000000000005,12,20.0,-20.0,0.3170731707317073
337384,Amanda Hamilton,2,7,0,7.1,2024-03-27,2,1,2,0,27,23.0,4.0,58.5,22,4,15.0,6.0,4.7,1,11,2,2.6,28.200000000000003,1,33.33333333333333,-36.0,0.18181818181818182
717312,Bailey Rodriguez,5,6,1,3.6,2024-01-28,1,0,2,1,32,29.0,3.0,69.8,13,9,3.0,1.3,3.3,2,13,2,1.0,4.29,2,0.0,-50.0,0.6923076923076923
403725,Donald Baker,5,6,0,11.9,2024-10-11,4,1,5,0,46,2.0,44.0,61.9,22,15,9.0,2.3,4.3,2,8,0,2.3,9.889999999999999,4,16.666666666666664,215.0,0.6818181818181818
709010,Matthew Johnson,6,1,0,9.8,2024-10-14,3,0,10,1,57,17.0,40.0,77.6,40,25,16.0,6.6,1.1,1,0,1,5.0,7.26,5,0.0,240.0,0.625
427233,Brian Hoover,1,6,0,12.5,2024-01-03,2,0,7,0,62,19.0,43.0,57.2,21,6,3.0,7.1,2.4,1,3,0,2.5,17.04,8,0.0,175.0,0.2857142857142857
562875,Nancy Wilson,5,2,0,15.1,2024-06-30,3,0,3,0,96,20.0,76.0,79.3,16,14,2.0,8.4,1.5,1,15,1,2.3,12.600000000000001,1,0.0,171.0,0.875
822672,Sherry Miller,0,7,0,4.2,2024-02-17,1,0,9,0,22,3.0,19.0,65.1,42,10,3.0,6.6,3.1,1,30,2,3.3,20.46,12,0.0,153.0,0.23809523809523808
401936,Stacey Keith,6,0,0,8.5,2024-03-05,4,2,1,1,18,13.0,5.0,80.3,20,18,6.0,4.5,3.7,0,6,1,3.1,16.650000000000002,8,100.0,-7.0,0.9
784271,Madison White,2,2,0,8.8,2024-09-03,2,0,9,0,57,30.0,27.0,81.9,45,3,19.0,9.7,3.4,2,30,0,4.3,32.98,5,0.0,-18.0,0.06666666666666667
390949,Thomas Landry,5,4,0,4.5,2024-12-11,2,2,5,0,91,40.0,51.0,79.9,9,3,3.0,5.5,4.4,0,9,0,4.6,24.200000000000003,9,33.33333333333333,60.0,0.3333333333333333
859059,Bobby Mcintosh,6,3,0,4.1,2024-04-09,1,2,10,0,69,61.0,8.0,60.7,48,39,8.0,2.7,2.0,0,4,1,2.9,5.4,1,18.181818181818183,-520.0,0.8125
657259,William Lewis,4,7,0,11.9,2024-03-05,0,1,8,0,89,35.0,54.0,54.4,48,46,47.0,1.5,3.0,1,27,0,2.1,4.5,4,11.11111111111111,160.0,0.9583333333333334
310101,Gloria Sanchez,5,0,0,12.4,2024-01-22,1,0,2,0,93,26.0,67.0,89.7,17,10,8.0,9.6,3.6,2,17,0,1.5,34.56,9,0.0,84.0,0.5882352941176471
572495,Allison Medina,1,1,0,7.5,2024-11-22,0,1,3,0,23,16.0,7.0,89.5,50,36,23.0,8.0,3.6,0,15,1,3.5,28.8,8,25.0,-24.0,0.72
619762,Mariah Scott,0,2,1,8.8,2024-11-29,0,1,10,0,15,8.0,7.0,85.5,25,11,23.0,9.2,1.0,1,26,2,3.6,9.2,1,9.090909090909092,0.0,0.44
37658,Terry Alexander,2,7,0,3.4,2024-07-23,1,2,7,1,30,2.0,28.0,85.5,20,14,7.0,6.0,1.4,1,28,1,3.9,8.399999999999999,10,25.0,189.0,0.7
405540,Mrs. Brittany Jones,6,1,0,2.6,2024-03-26,4,0,7,0,99,93.9397541920645,5.0,99.9,49,34,0.0,6.7,4.9,1,16,0,3.6,32.830000000000005,6,0.0,-616.0,0.6938775510204082
557029,Michelle Goodwin,6,5,0,11.4,2024-11-16,2,0,6,1,47,18.0,29.0,58.2,50,9,40.0,9.4,3.7,2,7,2,3.7,34.78,9,0.0,72.0,0.18
615191,David Kim,6,5,1,12.3,2024-06-02,1,2,9,0,47,11.0,36.0,93.3,41,26,22.0,9.3,4.2,0,3,1,1.9,39.06,4,20.0,234.0,0.6341463414634146
487042,Michael Ramsey,5,2,1,3.4,2024-06-01,3,1,10,1,85,55.0,30.0,80.4,20,8,12.0,4.9,1.0,2,15,0,1.5,4.9,2,9.090909090909092,-240.0,0.4
768504,Jennifer Austin,0,3,0,7.4,2024-05-30,4,0,0,1,89,63.0,26.0,53.4,24,12,24.0,5.7,1.4,2,18,2,4.5,7.9799999999999995,10,0.0,-0.0,0.5
165339,Adrian Smith,3,5,0,6.1,2024-12-11,1,1,5,1,49,4.0,45.0,98.1,44,2,1.0,7.7,4.1,1,14,0,3.2,31.569999999999997,1,16.666666666666664,210.0,0.045454545454545456
947568,Jesse Perez,0,4,1,4.1,2024-11-28,3,1,4,1,60,54.0,6.0,85.1,7,7,7.0,5.1,1.7,1,16,0,2.4,8.67,8,20.0,-188.0,1.0
261060,Mr. Raymond Snyder,6,6,0,13.3,2024-02-13,0,2,7,0,36,34.0,2.0,95.4,35,31,26.0,2.8,2.7,0,20,1,2.9,7.56,11,25.0,-217.0,0.8857142857142857
483574,John Pollard,6,7,2,11.2,2024-07-31,0,0,3,0,84,53.0,31.0,66.7,39,13,8.0,6.8,4.5,2,19,0,1.4,30.599999999999998,1,0.0,-63.0,0.3333333333333333
349830,Christina Browning,6,5,1,0.1,2024-07-01,4,0,8,1,23,9.0,14.0,56.0,13,8,8.0,1.7,4.2,0,1,2,3.0,7.14,8,0.0,48.0,0.6153846153846154
77778,James Wilson,6,3,0,9.7,2024-09-04,1,2,1,0,37,35.0,2.0,78.2,20,17,19.0,7.2,4.6,0,20,1,2.4,33.12,5,100.0,-32.0,0.85
458782,Ryan Rodriguez,5,3,0,4.4,2024-08-30,2,2,7,0,86,81.0,5.0,98.6,7,3,3.0,6.7,4.8,1,30,1,2.8,32.16,9,25.0,-525.0,0.42857142857142855
287237,Amy Cox,5,3,0,3.3,2024-02-03,3,2,9,0,42,8.0,34.0,65.8,24,24,23.0,4.6,4.2,0,27,2,2.3,19.32,11,20.0,243.0,1.0
761523,Charles Bauer,3,5,0,9.6,2024-08-17,0,1,5,0,26,20.0,6.0,84.4,6,5,6.0,6.0,4.8,1,26,0,1.8,28.799999999999997,7,16.666666666666664,-65.0,0.8333333333333334
467295,Christopher Gonzales,5,4,0,9.7,2024-04-26,4,0,2,1,10,7.0,3.0,96.9,5,2,1.0,6.9,3.7,2,2,0,1.8,25.53,5,0.0,-6.0,0.4
601870,Robert Padilla,3,0,0,5.3,2024-10-14,2,2,0,1,28,15.0,13.0,82.7,29,11,10.0,9.6,2.5,2,4,2,4.3,24.0,11,200.0,-0.0,0.3793103448275862
843168,Jennifer Williams,5,6,1,5.5,2024-10-15,4,1,8,1,21,14.0,7.0,60.5,10,4,9.0,9.0,3.9,1,2,2,4.8,35.1,7,11.11111111111111,-48.0,0.4
156771,Tiffany Harris,3,5,0,9.5,2024-01-27,4,2,6,1,59,14.0,45.0,75.1,44,23,35.0,5.4,2.1,1,0,0,2.7,11.340000000000002,8,28.57142857142857,192.0,0.5227272727272727
125015,Marc Lynch,6,1,0,8.4,2024-02-22,4,0,2,1,17,9.0,8.0,55.9,16,10,8.0,5.8,4.0,2,1,0,2.0,23.2,9,0.0,0.0,0.625
351227,Richard Williams,2,4,2,1.6,2024-09-12,4,1,2,0,72,6.0,66.0,73.6,36,5,27.0,6.2,4.3,0,27,0,2.4,26.66,11,33.33333333333333,122.0,0.1388888888888889
355392,Jennifer Jackson,4,4,0,10.5,2024-05-25,4,1,1,0,34,26.0,8.0,93.1,10,9,5.0,5.8,4.4,0,4,2,3.7,25.52,8,50.0,-17.0,0.9
204021,Karen Copeland,2,2,0,11.1,2024-06-08,3,2,6,1,93,67.0,26.0,92.7,19,10,18.0,8.0,4.6,1,3,2,4.7,36.8,12,28.57142857142857,-240.0,0.5263157894736842
167075,Maria Martinez,3,7,0,4.7,2024-09-24,4,2,8,1,89,49.0,40.0,80.0,40,17,28.0,8.3,4.0,2,7,1,2.5,33.2,5,22.22222222222222,-64.0,0.425
785592,Pamela Adams,6,4,0,9.9,2024-11-23,3,1,7,0,40,11.0,29.0,82.4,12,9,9.0,7.9,4.0,2,29,2,4.9,31.6,4,12.5,133.0,0.75
760568,Andrew Johnson,1,7,0,14.8,2024-03-26,0,2,1,0,10,0.0,10.0,58.6,45,2,26.0,6.3,4.5,1,13,1,3.3,28.349999999999998,5,100.0,11.0,0.044444444444444446
906093,Tyler Pearson,0,0,1,1.3,2024-03-01,3,1,6,0,31,24.0,7.0,77.0,26,15,3.0,6.7,2.8,0,2,2,1.3,18.759999999999998,6,14.285714285714285,-96.0,0.5769230769230769
982416,Amanda Gonzalez,0,3,0,11.0,2024-08-19,4,1,10,0,92,37.0,55.0,96.5,33,19,1.0,4.6,1.9,2,8,2,2.9,8.739999999999998,3,9.090909090909092,190.0,0.5757575757575758
112363,Jeffrey Kelly,4,2,0,8.7,2024-05-02,0,2,8,0,66,57.0,9.0,79.3,29,12,13.0,2.8,1.8,1,21,0,1.5,5.04,6,22.22222222222222,-376.0,0.41379310344827586
582338,Ryan Lee,5,0,0,10.9,2024-10-08,0,1,0,0,67,32.0,35.0,82.2,31,23,29.0,10.0,2.8,2,23,0,2.2,28.0,3,100.0,0.0,0.7419354838709677
350425,Shannon Johnson,4,0,0,6.0,2024-02-12,2,0,9,1,80,45.0,35.0,78.1,28,12,5.0,8.9,2.9,2,17,1,4.9,25.81,2,0.0,-81.0,0.42857142857142855
72956,Elizabeth Ross,5,2,1,2.0,2024-12-11,2,2,0,1,75,1.0,74.0,92.0,9,8,4.0,3.0,2.1,0,18,0,2.9,6.300000000000001,5,200.0,0.0,0.8888888888888888
887979,Laura West,4,6,0,8.5,2024-01-17,2,2,0,0,88,2.0,86.0,55.8,50,21,12.0,6.8,1.3,2,11,1,4.5,8.84,8,200.0,0.0,0.42
330680,Amber Fox,4,6,0,11.8,2024-04-13,1,2,2,0,94,74.0,20.0,68.6,18,1,18.0,7.1,4.6,0,26,2,2.5,32.66,4,66.66666666666666,-106.0,0.05555555555555555
219891,Daniel Christensen,0,2,0,2.2,2024-01-19,1,2,7,0,94,74.0,20.0,57.8,29,12,13.0,7.6,2.0,2,8,0,2.9,15.2,12,25.0,-371.0,0.41379310344827586
205031,Robert Solomon,6,6,0,9.5,2024-05-21,1,1,3,0,99,80.0,19.0,67.9,24,24,2.0,6.1,1.5,2,12,2,4.5,9.149999999999999,8,25.0,-180.0,1.0
191208,Gloria Cruz,2,4,0,7.9,2024-07-29,4,1,2,1,16,11.0,5.0,60.0,11,11,6.0,7.8,3.1,0,11,2,3.5,24.18,4,33.33333333333333,-10.0,1.0
973941,James Zimmerman,6,5,0,3.4,2024-07-05,3,1,4,0,46,41.0,5.0,85.5,15,10,4.0,4.1,2.7,2,14,2,4.5,11.07,9,20.0,-140.0,0.6666666666666666
628125,Jennifer Baker,0,7,0,9.5,2024-03-15,0,0,3,0,46,10.0,36.0,96.6,49,30,42.0,2.5,4.9,2,29,0,1.5,12.25,8,0.0,81.0,0.6122448979591837
61228,Jennifer Jackson,1,1,0,4.2,2024-08-21,1,0,10,1,26,18.0,8.0,90.9,23,18,5.0,3.7,4.0,0,19,2,3.3,14.8,12,0.0,-90.0,0.782608695652174
569007,Brett Smith,1,6,0,3.7,2024-02-21,1,2,8,0,99,31.0,68.0,52.4,48,44,8.0,4.5,2.7,1,4,1,2.8,12.15,6,22.22222222222222,304.0,0.9166666666666666
49990,Russell Sharp,1,3,0,14.9,2024-06-21,3,1,7,1,33,2.0,31.0,76.8,49,19,46.0,8.8,2.8,1,15,0,4.8,24.64,4,12.5,210.0,0.3877551020408163
604048,Virginia Snow,1,2,0,12.5,2024-09-17,1,1,1,1,30,25.0,5.0,82.4,34,18,12.0,8.6,2.0,1,11,1,3.4,17.2,9,50.0,-19.0,0.5294117647058824
779946,Kyle Black,2,0,0,7.0,2024-03-29,1,0,1,0,18,15.0,3.0,75.3,23,5,10.0,8.6,3.1,1,2,2,2.8,26.66,2,0.0,-11.0,0.21739130434782608
507200,Michele Gordon,6,0,0,8.8,2024-01-21,2,0,0,1,29,3.0,26.0,87.6,32,13,3.0,6.1,2.4,2,7,1,4.6,14.639999999999999,4,0.0,0.0,0.40625
465919,Gregory Ferguson,5,4,0,7.6,2024-11-23,4,2,6,0,97,44.0,53.0,78.0,47,30,47.0,5.9,2.7,2,11,1,3.4,15.930000000000001,7,28.57142857142857,60.0,0.6382978723404256
433113,Jamie Reid,0,7,0,2.2,2024-06-10,2,0,6,1,44,40.0,4.0,56.5,10,7,3.0,1.3,4.2,2,22,0,1.6,5.460000000000001,11,0.0,-210.0,0.7
176021,Xavier Brown,3,2,0,9.0,2024-10-22,4,0,8,1,20,16.0,4.0,55.9,39,30,27.0,5.4,2.8,2,28,2,1.9,15.12,2,0.0,-88.0,0.7692307692307693
865925,Sandra Black,6,2,0,3.5,2024-06-21,1,2,0,1,83,62.0,21.0,84.9,45,5,4.0,8.1,3.7,0,18,2,2.7,29.97,8,200.0,-0.0,0.1111111111111111
467464,Joseph Carter,6,5,0,9.0,2024-01-23,1,1,8,0,53,18.0,35.0,79.8,33,20,6.0,3.4,4.0,0,25,0,4.2,13.6,2,11.11111111111111,144.0,0.6060606060606061
136096,Spencer Graves,2,3,0,13.5,2024-06-21,4,0,9,1,54,3.0,51.0,51.8,38,21,2.0,8.7,4.2,2,23,1,2.5,36.54,8,0.0,441.0,0.5526315789473685
351342,Robert Campbell,5,3,0,8.6,2024-01-19,3,1,2,0,11,2.0,9.0,86.8,17,2,10.0,1.5,3.7,0,28,2,4.4,5.550000000000001,7,33.33333333333333,16.0,0.11764705882352941
663184,Kevin Price,0,2,0,13.2,2024-03-19,1,1,0,1,73,62.0,11.0,79.3,21,18,4.0,3.8,2.3,2,30,2,4.6,8.739999999999998,11,100.0,-0.0,0.8571428571428571
968819,Mark Davila II,0,5,0,11.7,2024-07-16,0,0,1,1,69,18.0,51.0,83.2,32,16,23.0,3.4,4.0,1,5,0,1.2,13.6,6,0.0,34.0,0.5
218759,Zachary Duncan,3,3,0,11.4,2024-05-05,0,1,6,1,72,12.0,60.0,60.9,18,6,5.0,2.0,4.0,2,24,1,4.4,8.0,9,14.285714285714285,294.0,0.3333333333333333
402011,Darren Waller,0,0,1,4.5,2024-09-07,3,2,9,1,32,3.0,29.0,53.0,26,3,0.0,8.3,4.7,1,17,0,3.9,39.010000000000005,1,20.0,243.0,0.11538461538461539
101948,David Allen,6,4,0,4.7,2024-10-06,3,0,9,1,94,53.0,41.0,50.3,29,1,29.0,6.1,2.4,1,9,1,3.3,14.639999999999999,6,0.0,-99.0,0.034482758620689655
833178,Emma Reyes,6,2,0,10.4,2024-08-12,3,1,1,1,88,19.0,69.0,64.3,14,13,9.0,5.8,4.4,0,13,2,2.7,25.52,9,50.0,51.0,0.9285714285714286
129523,Emily Smith,5,5,0,3.2,2024-09-20,1,0,6,1,56,41.0,15.0,64.6,36,27,12.0,6.4,3.2,1,19,0,4.7,20.480000000000004,12,0.0,-150.0,0.75
932500,Linda Hess,4,1,0,12.5,2024-07-31,2,1,7,0,74,11.0,63.0,70.4,36,5,14.0,4.6,1.1,0,30,2,2.5,5.06,8,12.5,371.0,0.1388888888888889
453907,Joe Foster,0,0,0,15.1,2024-09-29,1,0,1,1,46,16.0,30.0,61.5,35,29,22.0,4.7,4.4,1,25,0,4.1,20.680000000000003,1,0.0,15.0,0.8285714285714286
834585,Steve Fleming,5,1,0,5.0,2024-09-12,0,0,1,1,10,8.0,2.0,93.6,9,6,6.0,2.7,3.7,2,14,1,4.1,9.990000000000002,2,0.0,-5.0,0.6666666666666666
912393,Kristina Young,6,4,0,8.4,2024-04-01,3,1,5,1,99,79.0,20.0,94.4,29,25,28.0,3.8,3.0,2,13,1,4.3,11.399999999999999,10,16.666666666666664,-290.0,0.8620689655172413
621264,Sean Gordon,0,7,0,5.9,2024-04-05,2,1,10,0,46,27.0,19.0,72.2,37,32,20.0,2.8,2.8,2,29,2,4.2,7.839999999999999,4,9.090909090909092,-70.0,0.8648648648648649
561859,Jennifer Smith,5,0,0,7.5,2024-08-04,3,1,1,0,80,40.0,40.0,54.0,46,19,7.0,8.4,2.5,0,17,2,3.7,21.0,9,50.0,1.0,0.41304347826086957
691944,Pamela Reyes,3,2,0,13.5,2024-10-01,2,2,4,1,90,79.0,11.0,72.4,29,18,5.0,8.9,3.2,0,5,1,1.6,28.480000000000004,8,40.0,-268.0,0.6206896551724138
681911,Justin Pollard,1,2,0,6.7,2024-06-27,3,2,3,0,83,10.0,73.0,96.0,21,9,21.0,9.6,1.3,1,3,0,4.3,12.48,6,50.0,192.0,0.42857142857142855
680033,Kelly Raymond DDS,0,6,0,3.3,2024-11-18,3,0,5,0,82,35.0,47.0,77.2,9,9,4.0,8.3,3.6,0,18,1,1.4,29.880000000000003,10,0.0,65.0,1.0
850305,Isabel Wyatt,2,3,0,5.3,2024-09-28,0,2,0,1,55,46.0,9.0,71.6,44,44,16.0,8.0,1.7,2,17,2,3.7,13.6,10,200.0,-0.0,1.0
99328,Timothy Douglas,1,6,0,9.6,2024-12-12,1,0,2,0,63,39.0,24.0,71.4,45,15,26.0,7.3,4.1,0,10,0,2.6,29.929999999999996,7,0.0,-28.0,0.3333333333333333
249434,Stephanie Watson,1,4,1,6.0,2024-05-26,2,1,7,0,68,27.0,41.0,99.6,11,9,3.0,6.6,4.8,0,6,1,1.3,31.679999999999996,8,12.5,105.0,0.8181818181818182
975282,Kellie Sanchez,5,2,0,8.2,2024-05-19,4,1,9,1,34,7.0,27.0,81.4,42,30,0.0,5.7,4.5,2,24,2,2.8,25.650000000000002,11,10.0,189.0,0.7142857142857143
755223,Debra Johnson,2,1,0,6.0,2024-07-09,4,0,8,1,64,14.0,50.0,86.2,33,1,19.0,5.0,4.7,0,7,1,2.1,23.5,2,0.0,296.0,0.030303030303030304
475664,Patrick Evans,1,3,0,9.7,2024-06-01,0,1,7,1,31,15.0,16.0,84.1,37,13,4.0,8.0,2.0,0,15,2,1.1,16.0,6,12.5,14.0,0.35135135135135137
58570,Adam Foster,4,4,0,9.1,2024-01-15,3,2,3,1,24,16.0,8.0,54.6,9,2,0.0,4.7,1.5,0,9,2,2.0,7.050000000000001,1,50.0,-21.0,0.2222222222222222
457583,Ashley Donaldson,5,7,0,14.2,2024-01-10,4,1,10,1,43,37.0,6.0,76.3,37,3,28.0,4.4,4.1,1,16,2,4.8,18.04,12,9.090909090909092,-300.0,0.08108108108108109
347188,Dustin Baker,4,3,0,3.9,2024-08-09,3,2,5,1,44,32.0,12.0,77.1,38,21,23.0,2.0,3.2,0,28,0,2.5,6.4,3,33.33333333333333,-95.0,0.5526315789473685
822711,Emily Hunter,2,5,1,4.6,2024-11-30,3,2,0,1,98,93.9397541920645,4.0,96.3,25,17,0.0,4.2,2.6,0,17,2,4.0,10.920000000000002,5,200.0,-0.0,0.68
473099,Sarah Young,3,7,0,9.4,2024-02-13,4,1,6,1,96,14.0,82.0,76.5,47,20,43.0,6.6,4.9,2,3,0,1.5,32.34,9,14.285714285714285,414.0,0.425531914893617
716548,Richard Tanner,0,0,0,12.6,2024-04-16,0,1,4,0,57,21.0,36.0,61.4,34,5,13.0,5.8,3.2,0,15,2,1.4,18.56,7,20.0,64.0,0.14705882352941177
646936,Robert Figueroa,6,5,0,11.7,2024-06-08,4,2,10,1,51,42.0,9.0,59.5,10,6,10.0,3.6,2.9,0,21,1,3.0,10.44,6,18.181818181818183,-320.0,0.6
604713,Jessica Henry,5,5,1,6.0,2024-11-28,0,0,9,1,67,58.0,9.0,53.8,41,28,38.0,1.2,2.0,0,11,0,3.8,2.4,10,0.0,-432.0,0.6829268292682927
287088,Amanda Scott,1,5,0,8.1,2024-07-06,4,0,5,0,95,80.0,15.0,81.1,8,8,2.0,6.2,1.1,1,28,1,4.8,6.820000000000001,1,0.0,-320.0,1.0
253272,Savannah Carlson,5,0,0,14.7,2024-04-09,0,0,8,1,95,75.0,20.0,59.1,17,9,4.0,3.4,3.7,1,3,2,1.9,12.58,5,0.0,-432.0,0.5294117647058824
316213,Andrew Knapp,6,5,0,7.1,2024-08-26,4,0,1,0,20,0.0,20.0,89.2,7,4,1.0,3.3,1.5,2,1,2,4.3,4.949999999999999,1,0.0,21.0,0.5714285714285714
519798,Lisa Stewart,3,1,2,3.2,2024-07-02,4,0,8,0,45,17.0,28.0,94.4,42,29,0.0,9.8,3.5,2,7,0,1.6,34.300000000000004,7,0.0,96.0,0.6904761904761905
469831,Shane Rodriguez,4,6,0,11.3,2024-08-08,0,1,7,0,48,24.0,24.0,96.6,14,6,3.0,6.7,1.3,2,6,1,3.5,8.71,11,12.5,7.0,0.42857142857142855
551661,Travis Quinn,4,6,0,11.4,2024-06-06,1,1,2,1,28,26.0,2.0,87.5,42,20,41.0,2.5,4.6,1,15,2,5.0,11.5,9,33.33333333333333,-46.0,0.47619047619047616
288500,Jonathan Powell,5,0,2,8.7,2024-03-19,0,2,4,1,51,46.0,5.0,51.7,5,4,0.0,2.6,4.5,1,27,2,3.3,11.700000000000001,1,40.0,-160.0,0.8
306681,Kristen Williams,3,4,0,13.7,2024-11-26,3,2,7,1,66,58.0,8.0,69.7,13,4,6.0,5.6,4.3,2,21,2,5.0,24.08,6,25.0,-343.0,0.3076923076923077
818375,Renee Hodges,3,1,0,7.0,2024-06-10,0,1,8,1,77,69.0,8.0,56.4,36,4,22.0,9.3,1.4,0,3,2,4.7,13.02,2,11.11111111111111,-480.0,0.1111111111111111
497822,Kimberly Sanders,2,5,0,10.3,2024-01-27,1,1,7,0,38,21.0,17.0,91.6,25,10,3.0,8.3,1.0,2,15,2,3.1,8.3,11,12.5,-21.0,0.4
157509,Nicholas Lopez,0,0,0,3.9,2024-08-22,0,1,5,0,60,28.0,32.0,81.1,18,17,9.0,4.9,4.3,1,22,2,4.8,21.07,3,16.666666666666664,25.0,0.9444444444444444
914012,Katherine Martin,1,4,0,5.7,2024-06-15,4,1,2,1,70,6.0,64.0,50.9,38,37,4.0,2.9,3.6,2,28,0,4.7,10.44,6,33.33333333333333,118.0,0.9736842105263158
148182,Robert Williams,6,0,0,11.5,2024-09-17,4,1,8,1,58,26.0,32.0,88.5,36,6,29.0,8.6,2.9,0,6,0,2.0,24.939999999999998,8,11.11111111111111,56.0,0.16666666666666666
